ALVE01KTKN8G58EJPT4RPTHGSW70KX	Andre Lima vs. Kevin Borjas (UFC Fight Night: Kape vs. Horiguchi - Prelims)	UFC Fight Night	2026-06-20
ALVE01KTKN8DZME7ZSDJ7TRJX60MCP	Bia Mesquita vs. Melissa Mullins (UFC Fight Night: Kape vs. Horiguchi - Prelims)	UFC Fight Night	2026-06-20
ALVE01KTKN8EZJE239W8XRFZ156SW6	Allan Nascimento vs. Mitch Raposo (UFC Fight Night: Kape vs. Horiguchi - Prelims)	UFC Fight Night	2026-06-20
ALVE01KTKN8DR9E2V8WGR9SHAM6NCY	Gaston Bolanos vs. Michael Aswell Jr. (UFC Fight Night: Kape vs. Horiguchi - Prelims)	UFC Fight Night	2026-06-20
ALVE01KV1MCZ8YEMYTW8B7CWGXJR0Q	Leon Shahbazyan vs. Levan Chokheli (UFC Fight Night: Kape vs. Horiguchi - Prelims)	UFC Fight Night	2026-06-20
ALVE01KTKN8G5WEVASRV02WE5AHARY	Karol Rosa vs. Luana Santos (UFC Fight Night: Kape vs. Horiguchi - Prelims)	UFC Fight Night	2026-06-20
ALVE01KV1MCZ9QEXGT5MM95XD3EEH6	Shane Collins vs. Otari Tanzilovi (UFC Fight Night: Kape vs. Horiguchi - Prelims)	UFC Fight Night	2026-06-20
ALVE01KS3GJ3EGEPZB9AG1VKJ147HC	Belal Muhammad vs. Gabriel Bonfim (UFC Fight Night: Muhammad vs. Bonfim - Main)	UFC Fight Night	2026-06-06
ALVE01KS3GJ5W5E6PRT6VS6FRNRS93	Brendan Allen vs. Edmen Shahbazyan (UFC Fight Night: Muhammad vs. Bonfim - Main)	UFC Fight Night	2026-06-06
ALVE01KS3GJ4RNECJB95NT3DA7EX5A	Fares Ziam vs. Tom Nolan (UFC Fight Night: Muhammad vs. Bonfim - Main)	UFC Fight Night	2026-06-06
ALVE01KSVWVCRNEQCRZ7VX5GARVZ7K	Bryce Mitchell vs. Santiago Luna (UFC Fight Night: Muhammad vs. Bonfim - Main)	UFC Fight Night	2026-06-06
ALVE01KSVWVDDZEJXA0ET5GAASVPK3	Iwo Baraniewski vs. Junior Tafa (UFC Fight Night: Muhammad vs. Bonfim - Main)	UFC Fight Night	2026-06-06
ALVE01KSVWVE60E7TTKDGFN5T32MTZ	Matt Schnell vs. Alessandro Costa (UFC Fight Night: Muhammad vs. Bonfim - Prelims)	UFC Fight Night	2026-06-06
ALVE01KSVWBVDDE8YSK2QHQ7R6T448	Marcus McGhee vs. John Yannis (UFC Fight Night: Muhammad vs. Bonfim - Prelims)	UFC Fight Night	2026-06-06
ALVE01KS3GJ393ET3BCTJK0DC2Z6SY	Bruno Silva vs. Edgar Chairez (UFC Fight Night: Muhammad vs. Bonfim - Prelims)	UFC Fight Night	2026-06-06
ALVE01KS3GJ5K0EQ2BS79ZR3RD48CZ	Priscila Cachoeira vs. Chelsea Chandler (UFC Fight Night: Muhammad vs. Bonfim - Prelims)	UFC Fight Night	2026-06-06
ALVE01KS3GJ4QTE858YNMQJ8JC9JQE	Jordan Leavitt vs. Joanderson Brito (UFC Fight Night: Muhammad vs. Bonfim - Prelims)	UFC Fight Night	2026-06-06
ALVE01KS3GJ5DBEQ0SK4FDWQBN7373	Jeisla Chaves vs. Yuneisy Duben (UFC Fight Night: Muhammad vs. Bonfim - Prelims)	UFC Fight Night	2026-06-06
ALVE01KS3GJ4BWE3MB3PZ8EW0X8T6P	Ketlen Souza vs. Ariane Carnelossi (UFC Fight Night: Muhammad vs. Bonfim - Prelims)	UFC Fight Night	2026-06-06
ALVE01KRC3XSYNE408AP0SGQB9P3VX	Song Yadong vs. Deiveson Figueiredo (UFC Fight Night: Song vs. Figueiredo - Main)	UFC Fight Night	2026-05-30
ALVE01KRC3XRG8ENWS4MGFXEFD14R5	Zhang Mingyang vs. Alonzo Menifield (UFC Fight Night: Song vs. Figueiredo - Main)	UFC Fight Night	2026-05-30
ALVE01KRC3XV9CEFSBDQZE2JFSXVJ1	Sergei Pavlovich vs. Tallison Teixeira (UFC Fight Night: Song vs. Figueiredo - Main)	UFC Fight Night	2026-05-30
ALVE01KRC3XRJQE5STDRR1K341MPCB	Kai Asakura vs. Cameron Smotherman (UFC Fight Night: Song vs. Figueiredo - Main)	UFC Fight Night	2026-05-30
ALVE01KSJF7Z41E33B1X40PG91XGXB	Jake Matthews vs. Carlston Harris (UFC Fight Night: Song vs. Figueiredo - Main)	UFC Fight Night	2026-05-30
ALVE01KRC3XRFZE8R8HRDCQZXKVZ3A	Alex Perez vs. Sumudaerji (UFC Fight Night: Song vs. Figueiredo - Main)	UFC Fight Night	2026-05-30
ALVE01KRC3XSZ3E0TSQVJ84K2297YP	Yi Sak Lee vs. Luis Felipe Dias (UFC Fight Night: Song vs. Figueiredo - Prelims)	UFC Fight Night	2026-05-30
ALVE01KRC3XRN7EJTAY9335NB4AHKC	Ding Meng vs. Jose Souza (UFC Fight Night: Song vs. Figueiredo - Prelims)	UFC Fight Night	2026-05-30
ALVE01KRC3XRM3EFMV6Q1NC6NW7CMD	Aoriqileng vs. Cody Haddon (UFC Fight Night: Song vs. Figueiredo - Prelims)	UFC Fight Night	2026-05-30
ALVE01KSJF7XX9EAASQ78JR811CNQX	Rei Tsuruya vs. Luis Gurule (UFC Fight Night: Song vs. Figueiredo - Prelims)	UFC Fight Night	2026-05-30
ALVE01KRC3XV4QEM1BTSBANEE44DXH	Angela Hill vs. Xiong Jingnan (UFC Fight Night: Song vs. Figueiredo - Prelims)	UFC Fight Night	2026-05-30
ALVE01KSN1B1HJEBYR145T4NTC54KF	Zhu Kangjie vs. Rodrigo Vera (UFC Fight Night: Song vs. Figueiredo - Prelims)	UFC Fight Night	2026-05-30
ALVE01KRC3XV6PEVQ8PZ5NMENY9DD0	Loma Lookboonmee vs. Jaqueline Amorim (UFC Fight Night: Song vs. Figueiredo - Prelims)	UFC Fight Night	2026-05-30
ALVE01KQWQ4CS4EKYBN3WEFBM1DBN7	Arnold Allen vs. Melquizael Costa (UFC Fight Night: Allen vs. Costa - Main)	UFC Fight Night	2026-05-16
ALVE01KQWQ4DQXE32AFTSYECV2VEYM	Dooho Choi vs. Daniel Santos (UFC Fight Night: Allen vs. Costa - Main)	UFC Fight Night	2026-05-16
ALVE01KQWQ4DP1EXV9RFHS4NNBX7H1	Malcolm Wellmaker vs. Juan Diaz (UFC Fight Night: Allen vs. Costa - Main)	UFC Fight Night	2026-05-16
ALVE01KREP7675EQSAHGMDAB3P11P2	Modestas Bukauskas vs. Christian Edwards (UFC Fight Night: Allen vs. Costa - Main)	UFC Fight Night	2026-05-16
ALVE01KQWQ4CSBENF83CZVXVBBPT1B	Timmy Cuamba vs. Benardo Sopaj (UFC Fight Night: Allen vs. Costa - Main)	UFC Fight Night	2026-05-16
ALVE01KRC7MYJQE0QTJ8H58FSJ1N15	Nikolay Veretennikov vs. Khaos Williams (UFC Fight Night: Allen vs. Costa - Main)	UFC Fight Night	2026-05-16
ALVE01KQWQ4BJSECEAEBKH7T6M1QVN	Tuco Tokkos vs. Ivan Erslan (UFC Fight Night: Allen vs. Costa - Prelims)	UFC Fight Night	2026-05-16
ALVE01KREP75F9E4D966XRH82KV4A2	Tommy Gantt vs. Artur Minev (UFC Fight Night: Allen vs. Costa - Prelims)	UFC Fight Night	2026-05-16
ALVE01KQWQ4DX9EWMTKSY9ECEDJXSK	Ketlen Vieira vs. Jacqueline Cavalcanti (UFC Fight Night: Allen vs. Costa - Prelims)	UFC Fight Night	2026-05-16
ALVE01KQWQ4BE9EQ9V6TBE2TDEJX2S	Cody Brundage vs. Andre Petroski (UFC Fight Night: Allen vs. Costa - Prelims)	UFC Fight Night	2026-05-16
ALVE01KQWQ4CKGEZ8TYGDKJHRPYXZJ	Alice Ardelean vs. Polyana Viana (UFC Fight Night: Allen vs. Costa - Prelims)	UFC Fight Night	2026-05-16
ALVE01KQWQ4BDGE61RR27ZJKAHFQX9	Daniel Barez vs. Luis Gurule (UFC Fight Night: Allen vs. Costa - Prelims)	UFC Fight Night	2026-05-16
ALVE01KQWQ4BK1EP898QPM6BXGQ1YP	Shauna Bannon vs. Nicolle Caliari (UFC Fight Night: Allen vs. Costa - Prelims)	UFC Fight Night	2026-05-16
ALVE01KPNGSJKGERJA4ECYQJB0C23B	Jack Della Maddalena vs. Carlos Prates (UFC Fight Night: Della Maddalena vs. Prates - Main)	UFC Fight Night	2026-05-02
ALVE01KPNGRPTJEJF9115RTPHV7PZ1	Beneil Dariush vs. Quillan Salkilld (UFC Fight Night: Della Maddalena vs. Prates - Main)	UFC Fight Night	2026-05-02
ALVE01KPNGR3T6EMJBWZA1423AYEHA	Tim Elliott vs. Steve Erceg (UFC Fight Night: Della Maddalena vs. Prates - Main)	UFC Fight Night	2026-05-02
ALVE01KQAY402BE2B96D7T3MMR114Y	Marwan Rahiki vs. Ollie Schmid (UFC Fight Night: Della Maddalena vs. Prates - Main)	UFC Fight Night	2026-05-02
ALVE01KPNGRF37E90TS4G98SA20DC7	Shamil Gaziev vs. Brando Pericic (UFC Fight Night: Della Maddalena vs. Prates - Main)	UFC Fight Night	2026-05-02
ALVE01KQ068N7CE1FVSQ68ZT3M392S	Tai Tuivasa vs. Louie Sutherland (UFC Fight Night: Della Maddalena vs. Prates - Main)	UFC Fight Night	2026-05-02
ALVE01KPNGSRMCE42VZ8YAJ04S6YPV	Cam Rowston vs. Robert Bryczek (UFC Fight Night: Della Maddalena vs. Prates - Prelims)	UFC Fight Night	2026-05-02
ALVE01KPNGS353EP38A0F56EGGN1SG	Junior Tafa vs. Kevin Christian (UFC Fight Night: Della Maddalena vs. Prates - Prelims)	UFC Fight Night	2026-05-02
ALVE01KPNGR50TEKRA2YFT0RF7B5NC	Jacob Malkoun vs. Gerald Meerschaert (UFC Fight Night: Della Maddalena vs. Prates - Prelims)	UFC Fight Night	2026-05-02
ALVE01KPNGS3FWEQ7AFJM2YD18EM6F	Colby Thicknesse vs. Vince Morales (UFC Fight Night: Della Maddalena vs. Prates - Prelims)	UFC Fight Night	2026-05-02
ALVE01KPNGT0MYEVK9003JQN4FBDZY	Benjamin Johnston vs. Wes Schultz (UFC Fight Night: Della Maddalena vs. Prates - Prelims)	UFC Fight Night	2026-05-02
ALVE01KPNGRB42E2SBWYGVGAQNPM23	Jonathan Micallef vs. Themba Gorimbo (UFC Fight Night: Della Maddalena vs. Prates - Prelims)	UFC Fight Night	2026-05-02
ALVE01KPNGSSWHEAX8QP6V13Z4WWHA	Dom Mar Fan vs. Kody Steele (UFC Fight Night: Della Maddalena vs. Prates - Prelims)	UFC Fight Night	2026-05-02
ALVE01KP662FZME87VA5H9W3DSBSSW	Aljamain Sterling vs. Youssef Zalal (UFC Fight Night: Sterling vs. Zalal - Main)	UFC Fight Night	2026-04-25
ALVE01KP663DYKEGTBD2251F88J12N	Norma Dumont vs. Joselyne Edwards (UFC Fight Night: Sterling vs. Zalal - Main)	UFC Fight Night	2026-04-25
ALVE01KP662XB9E3AAVKXZAFKZS28D	Rafa Garcia vs. Alexander Hernandez (UFC Fight Night: Sterling vs. Zalal - Main)	UFC Fight Night	2026-04-25
ALVE01KP662AV5E22V7N61H8VJV1CN	Davey Grant vs. Adrian Luna Martinetti (UFC Fight Night: Sterling vs. Zalal - Main)	UFC Fight Night	2026-04-25
ALVE01KP6629VPED59106WQF3VT5QF	Montel Jackson vs. Raoni Barcelos (UFC Fight Night: Sterling vs. Zalal - Main)	UFC Fight Night	2026-04-25
ALVE01KP662P8ZESDSXN2TMB4XR650	Marcus Buchecha vs. Ryan Spann (UFC Fight Night: Sterling vs. Zalal - Main)	UFC Fight Night	2026-04-25
ALVE01KP662MWYEMPBDXWZ5BDKQV9Q	Rodolfo Vieira vs. Eric McConico (UFC Fight Night: Sterling vs. Zalal - Prelims)	UFC Fight Night	2026-04-25
ALVE01KP6640GYER2TXX6S2DC29GVX	Jackson McVey vs. Sedriques Dumas (UFC Fight Night: Sterling vs. Zalal - Prelims)	UFC Fight Night	2026-04-25
ALVE01KP663JEBE0XT3CF13WW4NZSD	Mayra Bueno Silva vs. Michelle Montague (UFC Fight Night: Sterling vs. Zalal - Prelims)	UFC Fight Night	2026-04-25
ALVE01KPP10WTREHQ8CZGFNNDR5T9B	Jafel Filho vs. Cody Durden (UFC Fight Night: Sterling vs. Zalal - Prelims)	UFC Fight Night	2026-04-25
ALVE01KPS392Q4ERD8TECGX2HK0Z5Q	Francis Marshall vs. Lucas Brennan (UFC Fight Night: Sterling vs. Zalal - Prelims)	UFC Fight Night	2026-04-25
ALVE01KPPJ858HE8V91TSQAK8CQ0TG	Max Griffin vs. Victor Valenzuela (UFC Fight Night: Sterling vs. Zalal - Prelims)	UFC Fight Night	2026-04-25
ALVE01KP66433SE629JDRMTK03A3PE	Talita Alencar vs. Julia Polastri (UFC Fight Night: Sterling vs. Zalal - Prelims)	UFC Fight Night	2026-04-25
ALVE01KNMQXP0FERYR969YBZWC4BF1	Gilbert Burns vs. Mike Malott (UFC Fight Night: Burns vs. Malott - Main)	UFC Fight Night	2026-04-18
ALVE01KNMQXDZPE9CRHCPNYY3N4TYS	Kyler Phillips vs. Charles Jourdain (UFC Fight Night: Burns vs. Malott - Main)	UFC Fight Night	2026-04-18
ALVE01KNMQWRYWEHR8RZACWEBM3YN2	Mandel Nallo vs. Jai Herbert (UFC Fight Night: Burns vs. Malott - Main)	UFC Fight Night	2026-04-18
ALVE01KNMQWCBCETRRH12SWGAN82CB	Jasmine Jasudavicius vs. Karine Silva (UFC Fight Night: Burns vs. Malott - Main)	UFC Fight Night	2026-04-18
ALVE01KNPZ3WV7E889PB709ARC6PJV	Thiago Moises vs. Gauge Young (UFC Fight Night: Burns vs. Malott - Main)	UFC Fight Night	2026-04-18
ALVE01KNMQWYC7EHZRVF8K0MY36CKP	Dennis Buzukja vs. Marcio Barbosa (UFC Fight Night: Burns vs. Malott - Main)	UFC Fight Night	2026-04-18
ALVE01KNMQWYENEVPA3T4EF0NDZ0QG	Julien Leblanc vs. Robert Valentin (UFC Fight Night: Burns vs. Malott - Prelims)	UFC Fight Night	2026-04-18
ALVE01KNMQYDWDEANAS8P8YBY8PVMD	Tanner Boser vs. Gokhan Saricam (UFC Fight Night: Burns vs. Malott - Prelims)	UFC Fight Night	2026-04-18
