Ovince Saint Preux                  wiki: Ovince Saint Preux | fights: 45
Ion Cuțelaba                        wiki: Ion Cuțelaba | fights: 33
Oumar Sy                            wiki: NOT FOUND | fights: 0
Navajo Stirling                     wiki: NOT FOUND | fights: 0
Ciryl Gane                          wiki: Ciryl Gane | fights: 15
Alexander Volkov                    wiki: Alexander Volkov (fighter) | fights: 51
Sergei Pavlovich                    wiki: Sergei Pavlovich | fights: 24
Curtis Blaydes                      wiki: Curtis Blaydes | fights: 26
Serghei Spivac                      wiki: Serghei Spivac | fights: 24
Rizvan Kuniev                       wiki: Rizvan Kuniev | fights: 17
Derrick Lewis                       wiki: Derrick Lewis | fights: 42
Marcin Tybura                       wiki: Marcin Tybura | fights: 38
Ante Delija                         wiki: Ante Delija | fights: 33
Tallison Teixeira                   wiki: Tallison Teixeira | fights: 10
Shamil Gaziev                       wiki: Shamil Gaziev | fights: 16
Valter Walker                       wiki: Valter Walker | fights: 15
Vitor Petrino                       wiki: Vitor Petrino | fights: 15
Jon Jones                           wiki: Jon Jones | fights: 30
Francis Ngannou                     wiki: Francis Ngannou | fights: 21
Stipe Miocic                        wiki: Stipe Miocic | fights: 25
Jailton Almeida                     wiki: Jailton Almeida | fights: 26
Brando Peričić                      wiki: NOT FOUND | fights: 0
Mackenzie Dern                      wiki: Mackenzie Dern | fights: 21
Zhang Weili                         wiki: Zhang Weili | fights: 30
Tatiana Suarez                      wiki: Tatiana Suarez | fights: 12
Virna Jandiroba                     wiki: Virna Jandiroba | fights: 27
Yan Xiaonan                         wiki: Yan Xiaonan | fights: 25
Amanda Lemos                        wiki: Amanda Lemos | fights: 21
Loopy Godinez                       wiki: Loopy Godinez | fights: 19
Tabatha Ricci                       wiki: Tabatha Ricci | fights: 16
Gillian Robertson                   wiki: Gillian Robertson | fights: 25
Jéssica Andrade                     wiki: Jéssica Andrade | fights: 41
Amanda Ribas                        wiki: Amanda Ribas | fights: 20
Fatima Kline                        wiki: Fatima Kline | fights: 10
Denise Gomes                        wiki: Denise Gomes | fights: 15
Angela Hill                         wiki: Angela Hill | fights: 36
Mizuki Inoue                        wiki: Mizuki Inoue | fights: 21
Valentina Shevchenko                wiki: Valentina Shevchenko | fights: 31
Natália Silva                       wiki: Natália Silva (fighter) | fights: 26
Manon Fiorot                        wiki: Manon Fiorot | fights: 15
Alexa Grasso                        wiki: Alexa Grasso | fights: 23
Maycee Barber                       wiki: Maycee Barber | fights: 18
Jasmine Jasudavicius                wiki: Jasmine Jasudavicius | fights: 18
Rose Namajunas                      wiki: Rose Namajunas | fights: 21
Tracy Cortez                        wiki: Tracy Cortez | fights: 15
Karine Silva                        wiki: Karine Silva | fights: 26
Miranda Maverick                    wiki: Miranda Maverick | fights: 21
Wang Cong                           wiki: Wang Cong | fights: 9
Casey O'Neill                       wiki: Casey O'Neill | fights: 12
Eduarda Moura                       wiki: NOT FOUND | fights: 0
JJ Aldrich                          wiki: JJ Aldrich | fights: 22
Jennifer Maia                       wiki: Jennifer Maia | fights: 33
Taila Santos                        wiki: Taila Santos | fights: 26
Katlyn Chookagian                   wiki: NOT FOUND | fights: 0
Andrea Lee                          wiki: Andrea Lee (fighter) | fights: 24
Viviane Araújo                      wiki: Viviane Araújo (fighter) | fights: 21
Kayla Harrison                      wiki: Kayla Harrison | fights: 52
Julianna Peña                       wiki: Julianna Peña | fights: 17
Raquel Pennington                   wiki: Raquel Pennington | fights: 24
Norma Dumont                        wiki: Norma Dumont | fights: 16
Ketlen Vieira                       wiki: Ketlen Vieira | fights: 21
Yana Santos                         wiki: Yana Santos | fights: 26
Irene Aldana                        wiki: Irene Aldana | fights: 23
Ailín Pérez                         wiki: Ailín Pérez | fights: 15
Macy Chiasson                       wiki: Macy Chiasson | fights: 16
Karol Rosa                          wiki: Karol Rosa | fights: 26
Joselyne Edwards                    wiki: Joselyne Edwards | fights: 23
Mayra Bueno Silva                   wiki: Mayra Bueno Silva | fights: 18
Miesha Tate                         wiki: Miesha Tate | fights: 29
Luana Santos                        wiki: NOT FOUND | fights: 0
Amanda Nunes                        wiki: Amanda Nunes | fights: 28
Holly Holm                          wiki: Holly Holm | fights: 22
Mason Jones                         wiki: Mason Jones (fighter) | fights: 20
Jalin Turner                        wiki: Jalin Turner | fights: 24
Alexander Hernandez                 wiki: Alexander Hernandez | fights: 27
Rafa Garcia                         wiki: Rafa García (fighter) | fights: 21
Drakkar Klose                       wiki: Drakkar Klose | fights: 20
Quillan Salkilld                    wiki: Quillan Salkilld | fights: 12
Drew Dober                          wiki: Drew Dober | fights: 45
Nurullo Aliev                       wiki: NOT FOUND | fights: 0
Chris Padilla                       wiki: Fernando Padilla | fights: 22
MarQuel Mederos                     wiki: NOT FOUND | fights: 0
Diego Ferreira                      wiki: Carlos Diego Ferreira | fights: 26
Claudio Puelles                     wiki: Claudio Puelles | fights: 17
Jordan Leavitt                      wiki: Jordan Leavitt | fights: 16
Nasrat Haqparast                    wiki: Nasrat Haqparast | fights: 23
Rongzhu                             wiki: NOT FOUND | fights: 0
Michael Johnson                     wiki: Michael Johnson (fighter) | fights: 43
Joaquim Silva                       wiki: Joaquim Silva (fighter) | fights: 19
Edson Barboza                       wiki: Edson Barboza | fights: 38
Mateusz Rebecki                     wiki: Mateusz Rębecki | fights: 24
Mairon Santos                       wiki: NOT FOUND | fights: 0
Chris Duncan                        wiki: Chris Duncan (fighter) | fights: 18
Kaue Fernandes                      wiki: NOT FOUND | fights: 0
Ignacio Bahamondes                  wiki: Ignacio Bahamondes | fights: 23
Thiago Moises                       wiki: Thiago Moisés | fights: 28
Mike Davis                          wiki: Mike Davis (fighter) | fights: 15
Tom Nolan                           wiki: NOT FOUND | fights: 0
Ismael Bonfim                       wiki: Gabriel Bonfim | fights: 20
Chase Hooper                        wiki: Chase Hooper | fights: 21
Jai Herbert                         wiki: Jai Herbert | fights: 21
Manoel Sousa                        wiki: NOT FOUND | fights: 0
Axel Sola                           wiki: NOT FOUND | fights: 0
Shavkat Rakhmonov                   wiki: Shavkat Rakhmonov | fights: 18
Stephen Thompson                    wiki: Stephen Thompson (fighter) | fights: 27
Michael Chiesa                      wiki: Michael Chiesa | fights: 27
Nicolas Dalby                       wiki: Nicolas Dalby | fights: 32
Mike Malott                         wiki: Mike Malott | fights: 16
Vicente Luque                       wiki: Vicente Luque | fights: 37
Myktybek Orolbai                    wiki: Myktybek Orolbai | fights: 18
Gunnar Nelson                       wiki: Gunnar Nelson (fighter) | fights: 25
Randy Brown                         wiki: Randy Brown (fighter) | fights: 28
Muslim Salikhov                     wiki: Muslim Salikhov | fights: 28
Jake Matthews                       wiki: Jake Matthews (fighter) | fights: 30
Li Jingliang                        wiki: Li Jingliang | fights: 27
Jack Hermansson                     wiki: Jack Hermansson | fights: 34
Rafael Dos Anjos                    wiki: Rafael dos Anjos | fights: 48
Daniil Donchenko                    wiki: NOT FOUND | fights: 0
Carlos Leal                         wiki: NOT FOUND | fights: 0
Sam Patterson                       wiki: Floyd Patterson | fights: 0
Jacobe Smith                        wiki: NOT FOUND | fights: 0
Saygid Izagakhmaev                  wiki: NOT FOUND | fights: 0
Claudio Ribeiro                     wiki: NOT FOUND | fights: 0
Joe Pyfer                           wiki: Joe Pyfer | fights: 18
Mohammed Usman                      wiki: Mohammed Usman | fights: 0
Nassourdine Imavov                  wiki: Nassourdine Imavov | fights: 21
Brendan Allen                       wiki: Brendan Allen | fights: 34
Devin Clark                         wiki: Devin Clark (fighter) | fights: 23
Lyoto Machida                       wiki: Lyoto Machida | fights: 38
Brendson Ribeiro                    wiki: NOT FOUND | fights: 0
Tuco Tokkos                         wiki: Tuco Tokkos | fights: 16
Ivan Erslan                         wiki: NOT FOUND | fights: 0
Rodolfo Bellato                     wiki: NOT FOUND | fights: 0
Uran Satybaldiev                    wiki: NOT FOUND | fights: 0
Abdul-Rakhman Yakhyaev              wiki: NOT FOUND | fights: 0
Luke Fernandez                      wiki: NOT FOUND | fights: 0
Levi Rodrigues                      wiki: NOT FOUND | fights: 0
Rafael Tobias                       wiki: NOT FOUND | fights: 0
Diyar Nurgozhay                     wiki: NOT FOUND | fights: 0
Bruno Lopes                         wiki: NOT FOUND | fights: 0
Billy Elekana                       wiki: Billy Elekana | fights: 11
Julius Walker                       wiki: NOT FOUND | fights: 0
Kevin Christian                     wiki: NOT FOUND | fights: 0
Tai Tuivasa                         wiki: Tai Tuivasa | fights: 24
Marcos Rogerio de Lima              wiki: Marcos Rogério de Lima | fights: 33
